optimizer,seed,lr,final_train_acc,final_test_acc,final_train_loss,final_test_loss,tainted,effective_batch_size,original_batch_size,test_acc
LAMB,1819,0.001,87.94444444444444,80.65,0.3463617829097943,0.6059259623289108,False,128,128,80.65
LAMB,2021,0.001,87.79555555555555,80.96,0.3465936851095069,0.6086789220571518,False,128,128,80.96
